iter	Passed	Remaining
0	7	1831
1	15	1934
2	23	1981
3	30	1891
4	36	1816
5	43	1770
6	50	1759
7	57	1731
8	63	1720
9	73	1777
10	94	2066
11	102	2047
12	115	2106
13	127	2163
14	140	2213
15	156	2293
16	167	2308
17	180	2337
18	194	2375
19	207	2397
20	221	2420
21	237	2470
22	253	2509
23	305	2892
24	322	2912
25	335	2905
26	349	2895
27	365	2908
28	378	2897
29	392	2892
30	406	2882
31	417	2859
32	430	2842
33	441	2818
34	453	2800
35	465	2782
36	476	2758
37	486	2728
38	495	2694
39	504	2660
40	513	2629
41	522	2600
42	531	2568
43	538	2531
44	546	2501
45	553	2467
46	560	2434
47	568	2406
48	577	2378
49	585	2351
50	592	2321
51	599	2295
52	606	2265
53	614	2241
54	621	2215
55	628	2188
56	635	2162
57	642	2138
58	649	2114
59	656	2089
60	663	2065
61	669	2041
62	677	2020
63	683	1997
64	689	1972
65	696	1951
66	703	1932
67	710	1912
68	717	1891
69	724	1872
70	731	1854
71	737	1834
72	744	1815
73	751	1797
74	758	1780
75	766	1764
76	773	1747
77	781	1733
78	788	1716
79	795	1701
80	803	1686
81	811	1673
82	819	1659
83	827	1644
84	834	1628
85	843	1618
86	850	1603
87	858	1590
88	867	1578
89	874	1564
90	881	1549
91	888	1535
92	895	1521
93	903	1509
94	911	1496
95	918	1483
96	926	1470
97	933	1456
98	941	1444
99	948	1432
100	957	1421
101	966	1411
102	975	1401
103	983	1390
104	991	1378
105	999	1367
106	1009	1358
107	1017	1346
108	1025	1335
109	1033	1324
110	1042	1314
111	1051	1304
112	1059	1293
113	1067	1282
114	1075	1272
115	1084	1262
116	1092	1251
117	1101	1241
118	1110	1231
119	1119	1221
120	1127	1211
121	1135	1200
122	1144	1190
123	1151	1179
124	1160	1169
125	1167	1158
126	1176	1148
127	1184	1138
128	1192	1128
129	1200	1117
130	1209	1108
131	1217	1097
132	1227	1088
133	1235	1078
134	1243	1068
135	1251	1058
136	1259	1048
137	1267	1037
138	1275	1027
139	1282	1017
140	1290	1006
141	1298	996
142	1306	986
143	1315	977
144	1322	966
145	1329	956
146	1337	946
147	1345	936
148	1354	926
149	1361	916
150	1369	906
151	1375	895
152	1381	885
153	1388	874
154	1397	865
155	1404	855
156	1412	845
157	1419	835
158	1425	824
159	1433	815
160	1443	806
161	1451	797
162	1458	787
163	1466	778
164	1474	768
165	1481	758
166	1490	749
167	1499	740
168	1506	731
169	1515	722
170	1524	713
171	1533	704
172	1540	694
173	1548	685
174	1556	676
175	1563	666
176	1572	657
177	1580	648
178	1587	638
179	1595	629
180	1604	620
181	1612	611
182	1620	602
183	1629	593
184	1638	584
185	1647	575
186	1656	566
187	1665	558
188	1673	548
189	1680	539
190	1687	530
191	1696	521
192	1704	512
193	1711	502
194	1718	493
195	1725	484
196	1733	475
197	1741	466
198	1749	457
199	1755	447
200	1763	438
201	1771	429
202	1779	420
203	1788	412
204	1797	403
205	1805	394
206	1813	385
207	1820	376
208	1828	367
209	1836	358
210	1844	349
211	1851	340
212	1859	331
213	1867	322
214	1875	313
215	1881	304
216	1889	296
217	1897	287
218	1904	278
219	1911	269
220	1918	260
221	1928	251
222	1936	243
223	1943	234
224	1950	225
225	1958	216
226	1967	207
227	1974	199
228	1981	190
229	1989	181
230	1997	172
231	2005	164
232	2012	155
233	2019	146
234	2027	138
235	2035	129
236	2042	120
237	2050	112
238	2060	103
239	2068	94
240	2076	86
241	2084	77
242	2094	68
243	2104	60
244	2113	51
245	2122	43
246	2131	34
247	2139	25
248	2147	17
249	2156	8
250	2164	0
