도시,구,동
대구광역시,중구,대신동
대구광역시,달서구,감삼동
대구광역시,수성구,두산동
대구광역시,북구,복현동
대구광역시,동구,신암동
대구광역시,달서구,감삼동
대구광역시,수성구,지산동
대구광역시,달서구,상인동
대구광역시,북구,태전동
대구광역시,동구,지묘동
대구광역시,서구,평리동
대구광역시,동구,신기동
대구광역시,서구,상리동
대구광역시,달서구,월성동
대구광역시,수성구,황금동
대구광역시,북구,구암동
대구광역시,동구,신천동
대구광역시,수성구,만촌동
대구광역시,중구,남산동
대구광역시,서구,비산동
대구광역시,북구,침산동
대구광역시,달서구,두류동
대구광역시,서구,평리동
대구광역시,수성구,신매동
대구광역시,달서구,대곡동
대구광역시,달성군,유가읍
대구광역시,달성군,논공읍
대구광역시,동구,율하동
대구광역시,수성구,만촌동
대구광역시,수성구,시지동
대구광역시,동구,봉무동
대구광역시,동구,율하동
대구광역시,달서구,상인동
대구광역시,달성군,다사읍
대구광역시,중구,동산동
대구광역시,달서구,두류동
대구광역시,달서구,대곡동
대구광역시,서구,평리동
대구광역시,서구,이현동
대구광역시,달서구,두류동
대구광역시,남구,이천동
대구광역시,달성군,유가읍
대구광역시,수성구,수성동4가
대구광역시,북구,노원동3가
대구광역시,서구,비산동
대구광역시,북구,서변동
대구광역시,북구,관음동
대구광역시,북구,학정동
대구광역시,수성구,파동
대구광역시,달성군,논공읍
대구광역시,달서구,감삼동
대구광역시,수성구,상동
대구광역시,달서구,이곡동
대구광역시,북구,서변동
대구광역시,동구,효목동
대구광역시,북구,읍내동
대구광역시,중구,남성로
대구광역시,북구,노원동3가
대구광역시,달서구,죽전동
대구광역시,수성구,만촌동
대구광역시,북구,복현동
대구광역시,달서구,월성동
대구광역시,남구,대명동
대구광역시,북구,동천동
대구광역시,동구,지저동
대구광역시,동구,신암동
대구광역시,북구,노원동3가
대구광역시,남구,대명동
대구광역시,북구,사수동
대구광역시,달서구,월성동
대구광역시,달서구,월성동
대구광역시,서구,비산동
대구광역시,남구,대명동
대구광역시,달성군,논공읍
대구광역시,북구,노원동3가
대구광역시,북구,침산동
대구광역시,중구,덕산동
대구광역시,달서구,본리동
대구광역시,달서구,본리동
대구광역시,동구,용계동
대구광역시,동구,효목동
대구광역시,동구,신천동
대구광역시,수성구,범어동
대구광역시,북구,태전동
대구광역시,달서구,신당동
대구광역시,달서구,성당동
대구광역시,서구,평리동
대구광역시,남구,대명동
대구광역시,달서구,용산동
대구광역시,서구,비산동
대구광역시,중구,대신동
대구광역시,서구,평리동
대구광역시,중구,태평로3가
대구광역시,서구,비산동
대구광역시,달서구,이곡동
대구광역시,달서구,이곡동
대구광역시,달서구,대곡동
대구광역시,달서구,이곡동
대구광역시,동구,용계동
대구광역시,북구,침산동
대구광역시,동구,도학동
대구광역시,수성구,욱수동
대구광역시,달서구,신당동
대구광역시,동구,불로동
대구광역시,달서구,상인동
대구광역시,북구,태전동
대구광역시,동구,신암동
대구광역시,달서구,상인동
대구광역시,남구,대명동
대구광역시,동구,효목동
대구광역시,북구,칠성동1가
대구광역시,달서구,용산동
대구광역시,달서구,장기동
대구광역시,북구,읍내동
대구광역시,북구,서변동
대구광역시,수성구,매호동
대구광역시,달서구,상인동
대구광역시,남구,대명동
대구광역시,남구,대명동
대구광역시,달서구,월성동
대구광역시,달서구,월성동
대구광역시,수성구,황금동
대구광역시,달서구,대천동
대구광역시,중구,삼덕동1가
대구광역시,서구,상리동
대구광역시,수성구,수성동2가
대구광역시,달서구,두류동
대구광역시,동구,지묘동
대구광역시,북구,팔달동
대구광역시,수성구,신매동
대구광역시,북구,읍내동
대구광역시,수성구,삼덕동
대구광역시,북구,복현동
대구광역시,달서구,성당동
대구광역시,수성구,범어동
대구광역시,달서구,진천동
대구광역시,수성구,지산동
대구광역시,북구,칠성동1가
대구광역시,수성구,지산동
대구광역시,수성구,황금동
대구광역시,수성구,수성동3가
대구광역시,달성군,가창면
대구광역시,서구,평리동
대구광역시,서구,비산동
대구광역시,동구,방촌동
대구광역시,북구,산격동
대구광역시,중구,덕산동
대구광역시,북구,읍내동
대구광역시,동구,신암동
대구광역시,달성군,다사읍
대구광역시,북구,팔달동
대구광역시,서구,이현동
대구광역시,북구,팔달동
대구광역시,수성구,황금동
대구광역시,달서구,월암동
대구광역시,달서구,이곡동
대구광역시,북구,읍내동
대구광역시,수성구,만촌동
대구광역시,수성구,두산동
대구광역시,서구,비산동
대구광역시,달성군,현풍읍
대구광역시,달서구,신당동
대구광역시,북구,칠성동1가
대구광역시,남구,대명동
대구광역시,달성군,구지면
대구광역시,중구,남산동
대구광역시,북구,매천동
대구광역시,동구,신천동
대구광역시,달서구,송현동
대구광역시,북구,고성동3가
대구광역시,남구,봉덕동
대구광역시,달서구,송현동
