주소,동,위도,경도
대구광역시 달서구두류동 804-141,두류동 804-141,35.857225,128.5712889
대구광역시 달서구본리동 1210-1,본리동 1210-1,35.83954722,128.5297917
대구광역시 달서구호산동 357-41,호산동 357-41,35.85149444,128.4880278
대구광역시 달서구송현1동 798-321,송현1동 798-321,35.82428889,128.5492028
대구광역시 달서구진천동 460,진천동 460,35.80910278,128.5222917
대구광역시 달서구상인2동 344-15,상인2동 344-15,35.81447222,128.5328694
대구광역시 달서구감삼동 31-5,감삼동 31-5,35.85645,128.5465111
대구광역시 달서구감삼동 32-34,감삼동 32-34,35.85557778,128.5452
대구광역시 달서구감삼동 35-1,감삼동 35-1,35.85550556,128.5419667
대구광역시 달서구감삼동 37-25,감삼동 37-25,35.85486389,128.5418778
대구광역시 달서구감삼동 44-15,감삼동 44-15,35.85349444,128.5422
대구광역시 달서구감삼동 54-6,감삼동 54-6,35.85403056,128.5445
대구광역시 달서구감삼동 126-31,감삼동 126-31,35.85160278,128.5451333
대구광역시 달서구감삼동 129-19,감삼동 129-19,35.85145,128.5443333
대구광역시 달서구감삼동 135-1,감삼동 135-1,35.8515764,128.5425006
대구광역시 달서구감삼동 165-17,감삼동 165-17,35.84938889,128.5399806
대구광역시 달서구감삼동 207-1,감삼동 207-1,35.8470264,128.5445244
대구광역시 달서구감삼동 201-2,감삼동 201-2,35.84730833,128.5423444
대구광역시 달서구감삼동 205-8,감삼동 205-8,35.84619167,128.543425
대구광역시 달서구감삼동 206-72,감삼동 206-72,35.84477222,128.5436111
대구광역시 달서구감삼동 288-5,감삼동 288-5,35.84550278,128.5406694
대구광역시 달서구죽전동 203-6,죽전동 203-6,35.85673611,128.5401333
대구광역시 달서구죽전동 216-9,죽전동 216-9,35.85433889,128.5383806
대구광역시 달서구죽전동 280-8,죽전동 280-8,35.85231944,128.5409222
대구광역시 달서구감삼동 30-20,감삼동 30-20,35.85496944,128.5469778
대구광역시 달서구감삼동 53-1,감삼동 53-1,35.85532778,128.5437667
