주소,동,위도,경도
대구광역시 남구 이천로 51,구청,35.845621,128.59726
대구광역시 남구 이천로 51,구청,35.845621,128.59726
대구광역시 남구 두류공원로20길 19,대명4동,35.84592,128.569506
대구광역시 남구 두류공원로20길 19,대명4동,35.84592,128.569506
대구광역시 남구 이천로 51,구청,35.845621,128.59726
대구광역시 남구 이천로 51,구청,35.845621,128.59726
대구광역시 남구 두류공원로20길 19,대명4동,35.84592,128.569506
대구광역시 남구 두류공원로20길 19,대명4동,35.84592,128.569506
대구광역시 남구 이천로 51,구청,35.845621,128.59726
대구광역시 남구 이천로 51,구청,35.845621,128.59726
대구광역시 남구 두류공원로20길 19,대명4동,35.84592,128.569506
대구광역시 남구 두류공원로20길 19,대명4동,35.84592,128.569506
대구광역시 남구 이천로 51,구청,35.845621,128.59726
대구광역시 남구 이천로 51,구청,35.845621,128.59726
대구광역시 남구 두류공원로20길 19,대명4동,35.84592,128.569506
대구광역시 남구 두류공원로20길 19,대명4동,35.84592,128.569506
대구광역시 남구 이천로 51,구청,35.845621,128.59726
대구광역시 남구 두류공원로20길 19,대명4동,35.84592,128.569506
대구광역시 남구 두류공원로20길 19,대명4동,35.84592,128.569506
대구광역시 남구 이천로 51,구청,35.845621,128.59726
대구광역시 남구 이천로 51,구청,35.845621,128.59726
대구광역시 남구 두류공원로20길 19,대명4동,35.84592,128.569506
대구광역시 남구 두류공원로20길 19,대명4동,35.84592,128.569506
대구광역시 남구 이천로 51,구청,35.845621,128.59726
대구광역시 남구 이천로 51,구청,35.845621,128.59726
대구광역시 남구 두류공원로20길 19,대명4동,35.84592,128.569506
대구광역시 남구 두류공원로20길 19,대명4동,35.84592,128.569506
대구광역시 남구 이천로 51,구청,35.845621,128.59726
대구광역시 남구 이천로 51,구청,35.845621,128.59726
대구광역시 남구 두류공원로20길 19,대명4동,35.84592,128.569506
대구광역시 남구 두류공원로20길 19,대명4동,35.84592,128.569506
대구광역시 남구 이천로 51,구청,35.845621,128.59726
대구광역시 남구 이천로 51,구청,35.845621,128.59726
대구광역시 남구 두류공원로20길 19,대명4동,35.84592,128.569506
대구광역시 남구 두류공원로20길 19,대명4동,35.84592,128.569506
대구광역시 남구 이천로 51,구청,35.845621,128.59726
대구광역시 남구 이천로 51,구청,35.845621,128.59726
대구광역시 남구 두류공원로20길 19,대명4동,35.84592,128.569506
대구광역시 남구 두류공원로20길 19,대명4동,35.84592,128.569506
