도시,구,동,위도,경도
대구광역시,남구,봉덕1동,35.846676,128.593345
대구광역시,남구,봉덕1동,35.847323,128.593978
대구광역시,남구,봉덕2동,35.843606,128.601056
대구광역시,남구,봉덕3동,35.842192,128.600187
대구광역시,남구,봉덕3동,35.838799,128.594886
대구광역시,남구,이천동,35.856074,128.595491
대구광역시,남구,대명1동,35.842506,128.579617
대구광역시,남구,대명1동,35.844235,128.575717
대구광역시,남구,대명1동,35.840894,128.577468
대구광역시,남구,대명2동,35.853063,128.592623
대구광역시,남구,대명2동,35.852397,128.592138
대구광역시,남구,대명2동,35.852338,128.592938
대구광역시,남구,대명2동,35.855573,128.588062
대구광역시,남구,대명3동,35.852028,128.578877
대구광역시,남구,대명3동,35.850363,128.580799
대구광역시,남구,대명3동,35.853722,128.583516
대구광역시,남구,대명3동,35.855779,128.584163
대구광역시,남구,대명4동,35.848159,128.570632
대구광역시,남구,대명4동,35.844713,128.568175
대구광역시,남구,대명5동,35.844954,128.586239
대구광역시,남구,대명6동,35.838987,128.566123
대구광역시,남구,대명6동,35.836956,128.568174
대구광역시,남구,대명6동,35.837593,128.564848
대구광역시,남구,대명9동,35.836219,128.583511
대구광역시,남구,대명9동,35.837334,128.583092
대구광역시,남구,대명9동,35.837569,128.582152
대구광역시,남구,대명9동,35.837035,128.579982
대구광역시,남구,대명10동,35.840598,128.567641
대구광역시,남구,대명11동,35.837035,128.559179
대구광역시,남구,대명11동,35.837548,128.561248
대구광역시,남구,대명11동,35.833766,128.564783
대구광역시,남구,봉덕동,35.845621,128.59726
대구광역시,남구,봉덕동,35.845621,128.59726
대구광역시,남구,대명4동,35.84592,128.569506
대구광역시,남구,대명4동,35.84592,128.569506
대구광역시,남구,봉덕동,35.845621,128.59726
대구광역시,남구,봉덕동,35.845621,128.59726
대구광역시,남구,대명4동,35.84592,128.569506
대구광역시,남구,대명4동,35.84592,128.569506
대구광역시,남구,봉덕동,35.845621,128.59726
