주소,동,위도,경도
대구광역시 중구 2.28길 9(남산동),남산1동,35.858347,128.590376
대구광역시 중구 경상감영길 55(서문로1가),성내2동,35.871766,128.590481
대구광역시 중구 국채보상로 670(동인동2가),동인동,35.868517,128.601224
대구광역시 중구 서성로 6-1,,35.867178,128.587846
대구광역시 중구 명륜로 27,,35.864034,128.589298
대구광역시 중구 경상감영길 67(포정동),성내2동,35.871828,128.591212
대구광역시 중구 달성공원로 35 달성공원 종합문화관,성내3동,35.872736,128.577728
대구광역시 중구 서성로 6-1,,35.867243,128.587726
대구광역시 중구 달구벌대로415길 49(남성로) ,성내2동,35.868177,128.589841
대구광역시 중구 남성로 24,,35.869283,128.588031
대구광역시 중구 서성로 6-1,,35.867179,128.587848
대구광역시 중구 동덕로 145 한국은행 대구경북본부 ,동인동,35.867979,128.602923
대구광역시 중구 중앙대로 449 (향촌동 9-1 ),성내2동,35.873368,128.59418
