연번,동명,판매처,전화번호,주소,위도,경도,20L 판매 여부,데이터 기준일자
1,봉덕1동,대백할인마트,053-472-6117,대구광역시 남구 봉덕로 5길30,35.846676,128.593345,,2020.6.24
2,봉덕1동,한아름마트,053-472-0113,대구광역시 남구 중앙대로 32길60,35.847323,128.593978,,2020.6.24
3,봉덕2동,에이플러스마트,053-475-7960,대구광역시 남구 봉덕로 20길21,35.843606,128.601056,Y,2020.6.24
4,봉덕3동,진주할인마트,053-471-0867,대구광역시 남구 중앙대로 22길174,35.842192,128.600187,Y,2020.6.24
5,봉덕3동,원마트,053-475-1006,대구광역시 남구 삼정 2길32,35.838799,128.594886,Y,2020.6.24
6,이천동,오케이마트,053-473-3909,대구광역시 남구 명덕로228-17,35.856074,128.595491,,2020.6.24
7,대명1동,파워마트남부점,053-628-5675,대구광역시 남구 현충로 107,35.842506,128.579617,,2020.6.24
8,대명1동,대경할인마트,053-624-7552,대구광역시 남구 현충로 25길71,35.844235,128.575717,Y,2020.6.24
9,대명1동,K할인마트 정우점,053-624-7175,대구광역시 남구 장전 3길96,35.840894,128.577468,Y,2020.6.24
10,대명2동,새마을슈퍼,053-472-0397,대구광역시 남구 영선시장 2길70-2,35.853063,128.592623,,2020.6.24
11,대명2동,영선만물상회,053-474-2943,대구광역시 남구 중앙대로 48길24,35.852397,128.592138,,2020.6.24
12,대명2동,대경할인마트,053-471-1370,대구광역시 남구 중앙대로 48길36,35.852338,128.592938,Y,2020.6.24
13,대명2동,원마트,053-627-7010,대구광역시 남구 중앙대로 49길46,35.855573,128.588062,,2020.6.24
14,대명3동,승우할인마트,053-213-1462,대구광역시 남구 계명 8길35,35.852028,128.578877,Y,2020.6.24
15,대명3동,하나로마트,053-626-5034,대구광역시 남구 현충로 195,35.850363,128.580799,Y,2020.6.24
16,대명3동,파워마트대명점,053-621-5544,대구광역시 남구 현충로 236,35.853722,128.583516,,2020.6.24
17,대명3동,하나로마트,053-622-2092,대구광역시 남구 명덕로 26길14,35.855779,128.584163,Y,2020.6.24
18,대명4동,원마트,053-652-9087,대구광역시 남구 성당시장길 48,35.848159,128.570632,,2020.6.24
19,대명4동,봉화할인마트,053-621-2111,대구광역시 남구 두류공원로 17길42,35.844713,128.568175,,2020.6.24
20,대명5동,코사마트대구유통,053-621-7066,대구광역시 남구 대명로 53길45,35.844954,128.586239,,2020.6.24
21,대명6동,팜스마트,053-656-5711,대구광역시 남구 대명로78,35.838987,128.566123,,2020.6.24
22,대명6동,대구할인마트,053-654-7451,대구광역시 남구 대명로 20길51,35.836956,128.568174,Y,2020.6.24
23,대명6동,아름다운마트,053-621-6550,대구광역시 남구 대명로 14길31-2,35.837593,128.564848,,2020.6.24
24,대명9동,원마트,053-654-6477,대구광역시 남구 큰골길 135,35.836219,128.583511,Y,2020.6.24
25,대명9동,성주할인,053-621-9356,대구광역시 남구 자유1길86,35.837334,128.583092,,2020.6.24
26,대명9동,대한할인마트,053-625-4145,대구광역시 남구 큰골5길26,35.837569,128.582152,,2020.6.24
27,대명9동,우리할인슈퍼,053-627-4829,대구광역시 남구 큰골길 69,35.837035,128.579982,Y,2020.6.24
28,대명10동,코사마트만물점,053-621-2640,대구광역시 남구 대명로 19길 23,35.840598,128.567641,,2020.6.24
29,대명11동,홈마트관문점,053-627-1228,대구광역시 남구 관문시장 1길17,35.837035,128.559179,Y,2020.6.24
30,대명11동,우리마트성당점,053-654-9234,대구광역시 남구 골안길 18,35.837548,128.561248,,2020.6.24
31,대명11동,홈마트-빨래터,053-623-0622,대구광역시 남구 대명로14길122-2,35.833766,128.564783,Y,2020.6.24
