박물관명,행정동,주소,대표,전화번호,홈페이지,개장시간,소장자료,경도,위도,데이터기준일자
2.28민주운동기념회관,남산1동,대구광역시 중구 2.28길 9(남산동),대구광역시장,053-257-2280,http://228lib.or.kr/,"화~금,1,2층 : 09:00~18:00,3층 : 09:00~21:00,토~일 : 09:00~17:00 (매주 월, 법정공휴일 휴관)",1층 전시관 : 영상관. 사료관 및 체험관,128.590376,35.858347,2020.10.13
경찰역사체험관,성내2동,대구광역시 중구 경상감영길 55(서문로1가),대구중부경찰서,053-420-1820,,"10:00~17:00(매주 월, 1.1., 설날, 추석, 국경일, 정부지정 공휴일은 휴관)",시대별 경찰제복. 장구.무기류.경찰관련 역사적 자료 등,128.590481,35.871766,2020.10.13
국채보상운동기념관,동인동,대구광역시 중구 국채보상로 670(동인동2가),대구광역시,053-745-6753,http://www.gukchae.com/,"3월~11월 09:00~18:00. 12월~2월 09:00~17:00 (매주 월요일.  1월1일 설날, 추석 휴관)","	제1,2전시실 : 상설전시실, 	기획전시실 : 특별전시. 회의실",128.601224,35.868517,2020.10.13
근대문화체험관 계산예가,,대구광역시 중구 서성로 6-1,대구광역시 중구,053-661-3323,,"3월~11월 09:00~18:00 12월~2월 09:00~17:30(설날, 추석당일 휴관)","이상화, 서상돈 고택 방문객들을 위한 편의시설 제공, 계산동을 포함한 도심일원에 대해 안내하는 영상관, 대형 입체패널에서 텍스트와 영상을 통해 대구 근대역사에 대한 정보를 제공하는 전시실, 근대기 이 지역의 활발했던 문화예술활동에 대한 정보를 전시물과 E-BOOK으로 제공하는 한옥전시관으로 구성",128.587846,35.867178,2020.10.13
남산동 인쇄전시관,,대구광역시 중구 명륜로 27,대구광역시 중구,,,"09:00~18:00(토, 일 , 공휴일, 근로자의 날 휴관)",활판인쇄기. 연활자 92판. 활판인쇄 생산물. 3D프린터 등 전시,128.589298,35.864034,2020.10.13
대구근대역사관,성내2동,대구광역시 중구 경상감영길 67(포정동),대구광역시(문화예술회관),053-606-6430,http://artcenter.daegu.go.kr/dmhm/,"09:00~19:00(매주 월, 1.1., 설날, 추석 당일 휴관)","						제1전시실			제1전시실			특별전시실							상설전시실			기획전시실			근대사진전 등 개최			",128.591212,35.871828,2020.10.13
대구향토역사관,성내3동,대구광역시 중구 달성공원로 35 달성공원 종합문화관,대구광역시(문화예술회관) ,053-606-6421,http://artcenter.daegu.go.kr/hyangto/,"09:00~18:00(1.1., 설날, 추석 당일 휴관)","	소장자료														소장자료			제1전시실			제2전시실							540여점			선사시대부터~1960년대까지 대구역사 소개			대구 생활문화 소개							모형물6점.설명패널40개. 전시유물자료250여점			모형물7점. 설명패널30개. 전시유물자료290여점			",128.577728,35.872736,2020.10.13
서상돈고택,,대구광역시 중구 서성로 6-1,이상화기념사업회,053-256-3762,,10:00~17:30 (설날. 추석당일 휴관),,128.587726,35.867243,2020.10.13
약령시한의약박물관,성내2동,대구광역시 중구 달구벌대로415길 49(남성로) ,대구광역시 ,053-253-4729,http://www.daegu.go.kr/dgom/index.do,"09:00~18:00(매주 월, 1.1., 설날, 추석당일 휴관)","	소장자료																		소장자료			약령시 역사관련 자료			희귀한약. 일반한약.			생약표본. 처방약			동물박제. 금석한약제.			한방기구			고한의서							300여점			37			150			78점			35			",128.589841,35.868177,2020.10.13
에코한방웰빙체험관,,대구광역시 중구 남성로 24,대구광역시 중구,053-661-2043,,"4월~10월 09:00~19:00/ 11월~3월 09:00~18:00 (매주 월요일, 1.1.,  설날, 추석 당일 휴관)",환경과 한방 관련 전시체험 판매 공간,128.588031,35.869283,2020.10.13
이상화고택,,대구광역시 중구 서성로 6-1,이상화기념사업회,053-256-3762,,10:00~17:30 (설날. 추석당일 휴관),,128.587848,35.867179,2020.10.13
한국은행 화폐전시실,동인동,대구광역시 중구 동덕로 145 한국은행 대구경북본부 ,한국은행 대구경북본부 ,053-429-0246,https://www.bok.or.kr/portal/main/contents.do?menuNo=200843,"월~금요일(09:30~16:00)  토, 일, 공휴일,  근로자의 날 휴관","	우리화폐전시관. 세계화폐전시관 (총2,300여점)",128.602923,35.867979,2020.10.13
향촌문화관,성내2동,대구광역시 중구 중앙대로 449 (향촌동 9-1 ),대구광역시 중구,053-219-4555,http://www.hyangchon.or.kr/,"4월~10월 09:00~19:00/ 11월~3월 09:00~18:00 (매주 월요일, 1월1일 휴관)","	기획전시실 : 향촌문화관에서 기획한 다양한 분야의 전시	, 멀티테마영상실 : 근대의 생활모습, 영상	상설전시실 : 향촌동의 어제와 오늘. 미래의 모습	, 녹향 : 음악감상",128.59418,35.873368,2020.10.13
