관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연도,관리기관전화번호,위도,경도,데이터기준일자
대구광역시 달서구청,두류남길 60(두류동),두류동 804-141,생활안전,1,200,회전,30,2015년,053-667-3900,35.857225,128.5712889,2021.6.14
대구광역시 달서구청,본리서3길 5(본리동),본리동 1210-1,생활안전,1,200,회전,30,2015년,053-667-3900,35.83954722,128.5297917,2021.6.14
대구광역시 달서구청,호산동로36북길 60(호산동),호산동 357-41,생활안전,1,200,회전,30,2015년,053-667-3900,35.85149444,128.4880278,2021.6.14
대구광역시 달서구청,월배로68길 48(송현동),송현1동 798-321,생활안전,1,200,고정,30,2020년,053-667-3900,35.82428889,128.5492028,2021.6.14
대구광역시 달서구청,상화로15길 27(진천동),진천동 460,생활안전,1,200,회전,30,2015년,053-667-3900,35.80910278,128.5222917,2021.6.14
대구광역시 달서구청,월배로32길 58(상인동),상인2동 344-15,생활안전,1,200,고정,30,2012년,053-667-3900,35.81447222,128.5328694,2021.6.14
대구광역시 달서구청,당산로45길 17(감삼동),감삼동 31-5,생활안전,1,200,회전,30,2015년,053-667-3900,35.85645,128.5465111,2021.6.14
대구광역시 달서구청,죽전4길 95(감삼동),감삼동 32-34,생활안전,1,200,회전,30,2015년,053-667-3900,35.85557778,128.5452,2021.6.14
대구광역시 달서구청,달구벌대로323길 68(감삼동),감삼동 35-1,생활안전,1,200,회전,30,2015년,053-667-3900,35.85550556,128.5419667,2021.6.14
대구광역시 달서구청,달구벌대로323길 55(감삼동),감삼동 37-25,생활안전,1,200,회전,30,2015년,053-667-3900,35.85486389,128.5418778,2021.6.14
대구광역시 달서구청,달구벌대로323길 23(감삼동),감삼동 44-15,생활안전,1,200,회전,30,2015년,053-667-3900,35.85349444,128.5422,2021.6.14
대구광역시 달서구청,당산로41길 62(감삼동),감삼동 54-6,생활안전,1,200,회전,30,2015년,053-667-3900,35.85403056,128.5445,2021.6.14
대구광역시 달서구청,감삼4길 70(감삼동),감삼동 126-31,생활안전,1,200,회전,30,2015년,053-667-3900,35.85160278,128.5451333,2021.6.14
