연번,설치기관명,주소,설치상세위치,위도,경도,연락처,기준일자
1,동구청,대구광역시 동구 아양로 207(신암동),1층 민원봉사과 서편 출입구,35.886807,128.636074,053-662-2314,2020.6.25
2,동구보건소,대구광역시 동구 동촌로 79(검사동),1층 통합건강관리실,35.888123,128.651215,053-662-3267,2020.6.25
3,동구보건소,대구광역시 동구 동촌로 79(검사동),1층 진료실,35.888123,128.651215,053-662-3270,2020.6.25
4,대구동부고용복지플러스센터,대구광역시 동구 아양로 22(신암동),1층 건강존,35.881455,128.61675,053-667-6900,2020.6.25
5,국민건강보험공단 대구동부지사,대구광역시 동구 동부로30길 11(신천동) ,동광빌딩 3층 민원실,35.876082,128.629233,1577-1000,2020.6.25
6,대구도시철도공사 1호선 아양교역,대구광역시 동구 아양로 245(신암동),지하3층 대합실,35.883835,128.625462,053-942-7724,2020.6.25
7,대구도시철도공사 1호선 율하역,대구광역시 동구 안심로 57(율하동),지하1층 대합실,35.912633,128.686217,053-962-7729,2020.6.25
8,대구도시철도공사 1호선 신기역,대구광역시 동구 안심로 지하 159(신기동),지하1층 대합실,35.912633,128.686217,053-962-7773,2020.6.25
9,동촌새마을금고 본점,대구광역시 동구 동촌로 82(검사동),1층,35.887756,128.650791,053-981-4406,2020.6.25
10,동대구농협 신암지점,대구광역시 동구 아양로 193(신암동),1층,35.886042,128.634208,053-941-0085,2020.6.25
