연번,시군명,행정동,유형,어린이집명,주소,우편번호,위도,경도
1,대구광역시 달성군,현풍읍,직장,DGIST직장어린이집,대구광역시 달성군 현풍읍 테크노중앙대로 333 비슬빌리지 302동 1층,42988,35.70564221,128.4550076
2,대구광역시 달성군,다사읍서재출장소,가정,가온누리어린이집,대구광역시 달성군 다사읍 세천로 160 104동 105호 (북죽곡엠코타운더솔레뉴),42930,35.87399612,128.4777876
3,대구광역시 달성군,옥포읍,민간,가온빛어린이집,대구광역시 달성군 옥포읍 비슬로 1941 LH허브시티 관리동,42968,35.78385805,128.4339724
4,대구광역시 달성군,구지면,민간,가온솔어린이집,대구광역시 달성군 구지면 과학마을로2길 6,43009,35.65579607,128.4155284
5,대구광역시 달성군,가창면,사회복지법인,가창어린이집,대구광역시 달성군 가창면 퇴계길 5,42937,35.78047023,128.6509424
6,대구광역시 달성군,옥포읍,국공립,강림어린이집,대구광역시 달성군 옥포읍 돌미로 51 천년나무2단지,42974,35.78006967,128.4396704
7,대구광역시 달성군,다사읍,민간,강창리더스어린이집,대구광역시 달성군 달구벌대로 814 강창하이츠 단지내,42915,35.86202273,128.4603315
8,대구광역시 달성군,다사읍서재출장소,가정,건영캐스빌어린이집,"대구광역시 달성군 다사읍 서재로12길 41-16 106동 102호(서재리, 와룡건영캐스빌)",42928,35.86756871,128.4957652
9,대구광역시 달성군,유가읍,직장,과학나무공동직장어린이집,대구광역시 달성군 유가읍 테크노대로6길 20,43023,35.68661886,128.4656493
10,대구광역시 달성군,구지면,민간,과학마을어린이집,대구광역시 달성군 구지면 과학마을로 70 과학마을청아람 단지 내,43008,35.6557426,128.4205311
11,대구광역시 달성군,구지면,국공립,구지반도유보라어린이집,대구광역시 달성군 구지면 과학마을로3길 14,43008,35.65792733,128.4195486
12,대구광역시 달성군,구지면,가정,구지아이숲어린이집,대구광역시 달성군 구지면 과학마을로3길 14 104동103호(대구국가산단반도유보라),43008,35.65693075,128.4210012
13,대구광역시 달성군,구지면,국공립,구지어린이집,대구광역시 달성군 창리중앙3길 12,43010,35.65739463,128.4120025
14,대구광역시 달성군,현풍읍,국공립,국가산단이다음어린이집,대구광역시 달성군 현풍읍 국가산단대로70길 41,43008,35.66279773,128.421253
15,대구광역시 달성군,화원읍,국공립,그린빌어린이집,대구광역시 달성군 화원읍 명천로 57 관리동,42965,35.80438332,128.5112599
16,대구광역시 달성군,다사읍,민간,그린숲어린이집,대구광역시 달성군 다사읍 다사로 50 관리동,42910,35.86439411,128.4601016
