연번,노선,시작 위치,끝 위치,띠녹지 폭(미터),띠녹지 연장(길이 미터),위도 ,경도
1,북비산로,북비산로407(애당) 앞 부터,북비산로 391(달성오토바이) 앞 까지,1,11,35.878466,128.5776601
2,북비산로,북비산로407(애당) 앞 부터,북비산로 391(달성오토바이) 앞 까지,1,32,35.8784995,128.5774602
3,북비산로,북비산로407(애당) 앞 부터,북비산로 391(달성오토바이) 앞 까지,1,26,35.8786005,128.5769174
4,북비산로,북비산로407(애당) 앞 부터,북비산로 391(달성오토바이) 앞 까지,1,17,35.8786546,128.5766338
5,북비산로,북비산로407(애당) 앞 부터,북비산로 391(달성오토바이) 앞 까지,1,34,35.8787122,128.5763867
6,북비산로,달서로200(국보부동산) 앞 부터,달서로 204(한국부동산) 앞 까지,1,4.3,35.8799985,128.5716227
7,북비산로,달서로200(국보부동산) 앞 부터,달서로 204(한국부동산) 앞 까지,1,10,35.8800683,128.5716271
8,북비산로,달서로200(국보부동산) 앞 부터,달서로 204(한국부동산) 앞 까지,1,18,35.8801585,128.5716618
9,북비산로,달서로 201(강내과) 앞 부터,달서로201(GS25대구북비산점) 앞 까지,1,30,35.8805293,128.5716315
10,북비산로,달서로 201(강내과) 앞 부터,달서로201(GS25대구북비산점) 앞 까지,1,14,35.880244,128.5715309
11,북비산로,북비산로343(우성약국)앞 부터,북비산로273(동남부엌가구) 앞까지,1,13.5,35.8796532,128.5708278
12,북비산로,북비산로343(우성약국)앞 부터,북비산로273(동남부엌가구) 앞까지,1,16,35.8796337,128.5706922
13,북비산로,북비산로343(우성약국)앞 부터,북비산로273(동남부엌가구) 앞까지,1,7,35.8796217,128.5703893
14,북비산로,북비산로343(우성약국)앞 부터,북비산로273(동남부엌가구) 앞까지,1,5.4,35.8796252,128.5703323
15,북비산로,북비산로343(우성약국)앞 부터,북비산로273(동남부엌가구) 앞까지,1,4,35.8796209,128.5701918
16,북비산로,북비산로343(우성약국)앞 부터,북비산로273(동남부엌가구) 앞까지,1,6,35.8796344,128.5699242
17,북비산로,북비산로343(우성약국)앞 부터,북비산로273(동남부엌가구) 앞까지,1,6,35.8796225,128.5698639
18,북비산로,북비산로343(우성약국)앞 부터,북비산로273(동남부엌가구) 앞까지,1,9,35.8796138,128.5697878
19,북비산로,북비산로343(우성약국)앞 부터,북비산로273(동남부엌가구) 앞까지,1,6,35.8796097,128.5696382
20,북비산로,북비산로343(우성약국)앞 부터,북비산로273(동남부엌가구) 앞까지,1,15,35.8796222,128.5695035
21,북비산로,북비산로343(우성약국)앞 부터,북비산로273(동남부엌가구) 앞까지,1,12,35.8796035,128.5695035
22,북비산로,북비산로343(우성약국)앞 부터,북비산로273(동남부엌가구) 앞까지,1,10,35.8795956,128.5688611
23,북비산로,북비산로343(우성약국)앞 부터,북비산로273(동남부엌가구) 앞까지,1,9.3,35.8795733,128.568623
24,북비산로,북비산로343(우성약국)앞 부터,북비산로273(동남부엌가구) 앞까지,1,7,35.8795573,128.5685003
25,북비산로,북비산로343(우성약국)앞 부터,북비산로273(동남부엌가구) 앞까지,1,17,35.8795535,128.5683753
26,북비산로,북비산로343(우성약국)앞 부터,북비산로273(동남부엌가구) 앞까지,1,7,35.5795399,128.5681422
27,북비산로,북비산로343(우성약국)앞 부터,북비산로273(동남부엌가구) 앞까지,1,17,35.8795358,128.5679069
28,북비산로,북비산로343(우성약국)앞 부터,북비산로273(동남부엌가구) 앞까지,1,15,35.8795426,128.5676906
29,북비산로,북비산로343(우성약국)앞 부터,북비산로273(동남부엌가구) 앞까지,1,5,35.8795271,128.5674787
30,북비산로,북비산로343(우성약국)앞 부터,북비산로273(동남부엌가구) 앞까지,1,5,35.8795,128.5669584
31,북비산로,북비산로343(우성약국)앞 부터,북비산로273(동남부엌가구) 앞까지,1,10,35.8795014,128.5669071
32,북비산로,북비산로343(우성약국)앞 부터,북비산로273(동남부엌가구) 앞까지,1,10,35.8795021,128.5668126
33,북비산로,북비산로343(우성약국)앞 부터,북비산로273(동남부엌가구) 앞까지,1,10,35.8794954,128.5664853
34,북비산로,북비산로343(우성약국)앞 부터,북비산로273(동남부엌가구) 앞까지,1,5,35.879482,128.5667113
