위도,경도,업종명,업소명,소재지 주소,행정동,전화번호,담당부서,기준일자
35.853989,128.502748,일반음식점,감골식당,"대구광역시 달서구 이곡서로 37-1, 지상1층 (이곡동)",이곡2동,053-587-7026,대구광역시 달서구 위생과,2021-10-28
35.81203238,128.530685,일반음식점,대가푸드,"대구광역시 달서구 월배로24길 98 (진천동,(지상1층))",진천동,053-634-1182,대구광역시 달서구 위생과,2021-10-28
35.83793223,128.5574794,일반음식점,광장해물찜,"대구광역시 달서구 성당로 3, 1층 (성당동)",성당동,053-623-6227,대구광역시 달서구 위생과,2021-10-28
35.8314532,128.5513021,일반음식점,가야성,대구광역시 달서구 월배로83길 7 (송현동),송현2동,053-654-0545,대구광역시 달서구 위생과,2021-10-28
35.82507871,128.5458459,일반음식점,월촌반점,"대구광역시 달서구 월배로65길 9 (송현동,(지상1층))",송현1동,053-627-3769,대구광역시 달서구 위생과,2021-10-28
35.82709823,128.5516371,일반음식점,우정막창,"대구광역시 달서구 앞산순환로49길 73, B동 (송현동,송경시장)",송현1동,053-628-7515,대구광역시 달서구 위생과,2021-10-28
35.8355811,128.5552491,일반음식점,똘이막창,"대구광역시 달서구 구마로52길 35 (송현동,(1층))",송현2동,053-628-2335,대구광역시 달서구 위생과,2021-10-28
35.8553747,128.5532063,일반음식점,여기미술관(대구광장점),대구광역시 달서구 달구벌대로344길 21 (두류동),두류3동,053-657-3366,대구광역시 달서구 위생과,2021-10-28
35.83406389,128.5558916,일반음식점,달맞이,"대구광역시 달서구 월배로94길 10, 1층 (송현동)",송현1동,053-655-3988,대구광역시 달서구 위생과,2021-10-28
35.83637536,128.553063,일반음식점,행복한밥상,대구광역시 달서구 월배로97길 60 (송현동),송현1동,053-624-2886,대구광역시 달서구 위생과,2021-10-28
35.85772062,128.558504,일반음식점,옛골,대구광역시 달서구 달구벌대로 1764 (두류동),두류1.2동,053-629-4820,대구광역시 달서구 위생과,2021-10-28
35.83669201,128.5308718,일반음식점,해선횟집,대구광역시 달서구 학산로7길 96 (본동),본동,053-527-4674,대구광역시 달서구 위생과,2021-10-28
35.83962,128.54326,일반음식점,삼천포횟집(활어회),"대구광역시 달서구 대명천로 152 (본리동,(지상1층))",본리동,053-527-6368,대구광역시 달서구 위생과,2021-10-28
35.83815281,128.5526658,일반음식점,언디스커버드(UNDSCOVERED),"대구광역시 달서구 대명천로 61, 1층 (성당동)",성당동,053-655-3434,대구광역시 달서구 위생과,2021-10-28
35.83572403,128.5316733,일반음식점,태흥식당,"대구광역시 달서구 와룡로9길 95-19, 1층 (본동)",본동,053-554-5677,대구광역시 달서구 위생과,2021-10-28
35.831529,128.551416,일반음식점,식이어탕전문점,대구광역시 달서구 월배로83길 8 (송현동),송현1동,053-623-3799,대구광역시 달서구 위생과,2021-10-28
35.85547338,128.5533067,일반음식점,돌머리,대구광역시 달서구 달구벌대로344길 17 (두류동),두류1.2동,053-652-6777,대구광역시 달서구 위생과,2021-10-28
35.81457916,128.5376514,일반음식점,낙원장반점,"대구광역시 달서구 월곡로53동길 47, 지상1층 (상인동)",상인2동,053-632-4664,대구광역시 달서구 위생과,2021-10-28
35.84911849,128.5435755,일반음식점,오복,대구광역시 달서구 감삼남5길 2 (감삼동),감삼동,053-556-0497,대구광역시 달서구 위생과,2021-10-28
35.84938767,128.543843,일반음식점,신성식당,대구광역시 달서구 감삼남길 127 (감삼동),감삼동,053-561-3400,대구광역시 달서구 위생과,2021-10-28
35.84326613,128.5341592,일반음식점,막창도둑장기점,대구광역시 달서구 장기로 239-5 (장기동),장기동,053-526-1003,대구광역시 달서구 위생과,2021-10-28
35.843473,128.534038,일반음식점,대동식당,대구광역시 달서구 장기로 241 (장기동),장기동,,대구광역시 달서구 위생과,2021-10-28
35.81631601,128.5362467,일반음식점,경남식당,"대구광역시 달서구 월곡로53길 53 (상인동,(지상1층))",상인1동,053-631-8951,대구광역시 달서구 위생과,2021-10-28
35.81169493,128.5356291,일반음식점,용정식당,대구광역시 달서구 상화북로 85 (상인동),상인1동,053-631-7991,대구광역시 달서구 위생과,2021-10-28
35.83666915,128.5400257,일반음식점,치키치키,대구광역시 달서구 와룡로10길 51 (본동),본동,053-623-8174,대구광역시 달서구 위생과,2021-10-28
35.8361412,128.5371663,일반음식점,대영식당,대구광역시 달서구 와룡로 40 (본동),본동,053-623-0145,대구광역시 달서구 위생과,2021-10-28
35.85097777,128.5349971,일반음식점,"멕시칸치킨용산점,멕시칸치킨죽전점","대구광역시 달서구 와룡로41길 35-10 (죽전동,(지상1층))",죽전동,053-561-0507,대구광역시 달서구 위생과,2021-10-28
35.83318,128.554808,일반음식점,삼일북성로돼지불고기,대구광역시 달서구 중흥로 3-2 (송현동),송현1동,053-626-0429,대구광역시 달서구 위생과,2021-10-28
35.83361117,128.5504759,일반음식점,동해찜식당,"대구광역시 달서구 학산로 220 (송현동,금성APT상가 103호)",송현2동,053-621-1427,대구광역시 달서구 위생과,2021-10-28
35.83341017,128.5451505,일반음식점,산정돼지갈비식당,"대구광역시 달서구 월배로85길 142 (송현동,(지상1층))",송현1동,053-622-7187,대구광역시 달서구 위생과,2021-10-28
35.81322114,128.5206341,일반음식점,김밥나라맛죽,"대구광역시 달서구 월배로 54, 1층 (진천동)",진천동,,대구광역시 달서구 위생과,2021-10-28
35.8199,128.52521,일반음식점,장수찜닭,대구광역시 달서구 월배로23길 117 (월성동),월성1동,053-632-2262,대구광역시 달서구 위생과,2021-10-28
35.81982,128.52522,일반음식점,삼정식당,대구광역시 달서구 월배로23길 117 (월성동),월성1동,053-632-0397,대구광역시 달서구 위생과,2021-10-28
35.84265921,128.5527193,일반음식점,정원이야기,"대구광역시 달서구 야외음악당로 59, 1층 (성당동)",성당동,053-622-7057,대구광역시 달서구 위생과,2021-10-28
35.84302,128.55472,일반음식점,선비촌,"대구광역시 달서구 장기로 54, 1층 (성당동)",성당동,053-624-1046,대구광역시 달서구 위생과,2021-10-28
35.81400646,128.5265595,일반음식점,미성식당,대구광역시 달서구 월배로22길 7 (진천동),진천동,053-633-0585,대구광역시 달서구 위생과,2021-10-28
35.85375666,128.5443822,일반음식점,페리카나,대구광역시 달서구 당산로41길 69 (감삼동),감삼동,,대구광역시 달서구 위생과,2021-10-28
35.7964151,128.5480833,일반음식점,숲밭골식당,대구광역시 달서구 수밭길 39 (도원동),도원동,053-632-5323,대구광역시 달서구 위생과,2021-10-28
35.83192291,128.5331421,일반음식점,"만리성, 고향랭면, 중국집","대구광역시 달서구 월성로 36, 나동 211호 (월성동, 월성주공4단지상가)",월성1동,053-636-5989,대구광역시 달서구 위생과,2021-10-28
35.83995453,128.5489479,일반음식점,동산반점,"대구광역시 달서구 구마로39길 58, 1층 (성당동)",성당동,053-628-4464,대구광역시 달서구 위생과,2021-10-28
35.83670306,128.5484384,일반음식점,그린코아분식,"대구광역시 달서구 구마로 190 (본동,그린코아종합상가)",본동,053-651-6995,대구광역시 달서구 위생과,2021-10-28
35.85705148,128.5704458,일반음식점,스모프치킨식당,대구광역시 달서구 명덕로2길 110 (두류동),두류1.2동,053-652-0859,대구광역시 달서구 위생과,2021-10-28
35.85902436,128.5706593,일반음식점,명신반점,대구광역시 달서구 명덕로2길 67,두류1.2동,,대구광역시 달서구 위생과,2021-10-28
35.85352107,128.5486099,일반음식점,금강산왕갈비,"대구광역시 달서구 당산로 190, A,B동 (두류동,상가)",두류1.2동,053-623-2244,대구광역시 달서구 위생과,2021-10-28
35.84825109,128.5673714,일반음식점,부산식당,"대구광역시 달서구 두류공원로28길 20, 1층 (성당동)",성당동,053-624-6161,대구광역시 달서구 위생과,2021-10-28
35.83344728,128.5488698,일반음식점,우정,대구광역시 달서구 학산로42길 7 (송현동),송현2동,053-627-1030,대구광역시 달서구 위생과,2021-10-28
35.83690716,128.5412117,일반음식점,누리마을본동점,대구광역시 달서구 구마로 124 (본동),본동,053-551-0053,대구광역시 달서구 위생과,2021-10-28
35.85653297,128.5580528,일반음식점,공원보리밥,"대구광역시 달서구 두류공원로 261, 1층 (두류동)",두류1.2동,053-622-1339,대구광역시 달서구 위생과,2021-10-28
35.84156213,128.5599402,일반음식점,보하라,대구광역시 달서구 성당로 49 (성당동),성당동,053-623-9777,대구광역시 달서구 위생과,2021-10-28
35.854683,128.545262,일반음식점,서남식당,"대구광역시 달서구 달구벌대로329길 25-5, 1층 (감삼동)",감삼동,053-557-0332,대구광역시 달서구 위생과,2021-10-28
35.830007,128.549811,일반음식점,서민식당,대구광역시 달서구 송현동1길 9 (송현동),송현1동,053-654-0488,대구광역시 달서구 위생과,2021-10-28
35.85590427,128.5536861,일반음식점,한신포차(광장코아점),"대구광역시 달서구 달구벌대로344길 5, 1층 (두류동)",두류1.2동,053-624-5400,대구광역시 달서구 위생과,2021-10-28
35.84963885,128.5361062,일반음식점,양삼식당,"대구광역시 달서구 달구벌대로 1546, 1층 (감삼동)",감삼동,053-557-7732,대구광역시 달서구 위생과,2021-10-28
35.83858554,128.5526467,일반음식점,도토리분식식당,"대구광역시 달서구 대명천로 64, 1층 (성당동)",성당동,053-651-9414,대구광역시 달서구 위생과,2021-10-28
35.847804,128.521073,일반음식점,새댁식당,"대구광역시 달서구 문화회관3길 37 (장기동,(1층))",장기동,053-583-1757,대구광역시 달서구 위생과,2021-10-28
35.85434118,128.5505973,일반음식점,장수식당,"대구광역시 달서구 당산로40길 42, 1층 (두류동)",두류3동,053-659-1565,대구광역시 달서구 위생과,2021-10-28
35.84514,128.54577,일반음식점,하이부로치킨,"대구광역시 달서구 당산동길 21, 1층 (성당동)",성당동,053-622-9494,대구광역시 달서구 위생과,2021-10-28
