"순번","코드","시설물명","위치명","주소","등록일","시설물구분","운영상태","위도","경도"
"1","SL","스마트가로등-001","SL-001","대구광역시 수성구 시지동 430-1","2018-10-21","스마트가로등","정상","35.84074","128.6921"
"2","SL","스마트가로등-002","SL-002","대구광역시 수성구 시지동 396","2018-10-21","스마트가로등","비정상","35.83937","128.6932"
"3","SL","스마트가로등-003","SL-003","대구광역시 수성구 시지동 450-3","2018-10-21","스마트가로등","정상","35.83935","128.6906"
"4","SL","스마트가로등-004","SL-004","대구광역시 수성구 대흥동 198-1","2018-10-21","스마트가로등","정상","35.83895","128.6892"
"5","SL","스마트가로등-005","SL-005","대구광역시 수성구 노변동 567","2018-10-21","스마트가로등","비정상","35.83705","128.6943"
"6","SL","스마트가로등-006","SL-006","대구광역시 수성구 대흥동 21-1","2018-10-21","스마트가로등","정상","35.83559","128.69"
"7","SL","스마트가로등-007","SL-007","대구광역시 수성구 대흥동 26-1","2018-10-21","스마트가로등","정상","35.83517","128.6908"
"8","SL","스마트가로등-008","SL-008","대구광역시 수성구 대흥동 782","2018-10-21","스마트가로등","비정상","35.8341","128.6933"
"9","SL","스마트가로등-009","SL-009","대구광역시 수성구 노변동 325","2018-10-21","스마트가로등","정상","35.83523","128.6976"
"10","SL","스마트가로등-010","SL-010","대구광역시 수성구 노변동 454-2","2018-10-21","스마트가로등","정상","35.83408","128.698"
"11","SL","스마트가로등-011","SL-011","대구광역시 수성구 대흥동 84","2018-10-21","스마트가로등","정상","35.83384","128.689"
"12","SL","스마트가로등-012","SL-012","대구광역시 수성구 대흥동 190","2018-10-21","스마트가로등","정상","35.83897","128.6874"
"13","SL","스마트가로등-013","SL-013","대구광역시 수성구 대흥동 646-157","2018-10-21","스마트가로등","정상","35.83918","128.6833"
"14","SL","스마트가로등-014","SL-014","대구광역시 수성구 대흥동 646-7","2018-10-21","스마트가로등","정상","35.8381","128.6835"
"15","SL","스마트가로등-015","SL-015","대구광역시 수성구 대흥동 312","2018-10-21","스마트가로등","정상","35.83408","128.6848"
"16","SL","스마트가로등-016","SL-016","대구광역시 수성구 대흥동 353","2018-10-21","스마트가로등","정상","35.83409","128.6826"
"17","SL","스마트가로등-017","SL-017","대구광역시 수성구 대흥동 659","2018-10-21","스마트가로등","정상","35.83506","128.6811"
"18","SL","스마트가로등-018","SL-018","대구광역시 수성구 노변동 494-12","2018-10-21","스마트가로등","정상","35.8323","128.6973"
"19","LS","생활안전CCTV-001","LS-001","대구광역시 시지동 462-169","2018-10-21","생활안전CCTV","정상","35.84132","128.6911"
"20","LS","생활안전CCTV-002","LS-002","대구광역시 대흥동 272-2","2018-10-21","생활안전CCTV","정상","35.84057","128.687"
"21","LS","생활안전CCTV-003","LS-003","대구광역시 대흥동 347-1","2018-10-21","생활안전CCTV","정상","35.8391","128.6852"
"22","LS","생활안전CCTV-004","LS-004","대구광역시 시지동 599","2018-10-21","생활안전CCTV","정상","35.83688","128.6924"
"23","LS","생활안전CCTV-005","LS-005","대구광역시 노변동 523","2018-10-21","생활안전CCTV","정상","35.83599","128.6957"
"24","LS","생활안전CCTV-006","LS-006","대구광역시 노변동 487","2018-10-21","생활안전CCTV","정상","35.83397","128.6962"
"25","LS","생활안전CCTV-007","LS-007","대구광역시 대흥동 799","2018-10-21","생활안전CCTV","정상","35.83266","128.6934"
"26","LS","생활안전CCTV-008","LS-008","대구광역시 대흥동 68","2018-10-21","생활안전CCTV","정상","35.83318","128.6892"
"27","LS","생활안전CCTV-009","LS-009","대구광역시 대흥동 379-5","2018-10-21","생활안전CCTV","정상","35.83771","128.6815"
"28","LS","생활안전CCTV-010","LS-010","대구광역시 삼덕동 820-22","2018-10-21","생활안전CCTV","정상","35.83677","128.6807"
"29","LS","생활안전CCTV-011","LS-011","대구광역시 대흥동 722","2018-10-21","생활안전CCTV","정상","35.83517","128.6796"
"30","CR","차량번호인식-001","CR-001","대구광역시 수성구 시지동 220-6","2018-10-21","차량번호인식","정상","35.84173","128.6886"
"31","CR","차량번호인식-002","CR-002","대구광역시 수성구 시지동 222-10","2018-10-21","차량번호인식","정상","35.84176","128.6888"
